Dep,Dest,Evenodd,Restriction,Route
OMDB,EGPH,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ENIMA L622 NARKA DCT AMRAX DCT LALES DCT BABUS DCT VARIK DCT TAMEB L602 EMLON M79 NATEB Y96 AGPED
OMDB,EGSS,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 NEPOT L746 EVRIK L850 BUDOP DCT PATAK DCT LALES DCT BABUS DCT VARIK DCT TAMEB L602 RKN DCT NIGUG DCT ODVIL DCT NOGRO M40 IDESI
OMDB,EHAM,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ENIMA L622 NARKA DCT AMRAX DCT LALES DCT BABUS DCT VARIK DCT SODRO DCT SOPOD DCT PEXAM DCT NORKU
OMDB,EIDW,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 NEPOT L746 EVRIK L850 BUDOP DCT PATAK DCT LALES DCT BABUS DCT VARIK DCT ROBEL L602 BERGI DCT RAVLO Y70 OTBED L60 PENIL UL28 LELDO M145 BAGSO
OMDB,EKCH,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT KENIN DCT LENOV N133 POLON M70 BABEN L617 ROE M743 TIDVU
OMDB,ENGM,EVEN,,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 PIROG N23 MOTEG B945 DETIR R704 ARNIS T639 BUTRI N39 TE T563 UK L169 TU R58 NOTAR Y168 DOHOR DCT NEBSI P607 TEB N623 ESEBA
OMDB,ENGM,EVEN,,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV UL124 ZAJ UR654 MAGRI N77 ADANO N82 LAPTO A234 SORLU R11 BUTRI N39 TE T563 UK L169 TU R58 NOTAR Y168 DOHOR DCT NEBSI P607 TEB N623 ESEBA
OMDB,ENGM,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT KENIN DCT LENOV N133 POLON N983 ROE L617 SABAK L997 LUNIP
OMDB,EPWA,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT KENIN DCT LENOV DCT LOGDA
OMDB,EPWA,EVEN,,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L621 REVDA P193 KARIL DCT KENIN DCT LENOV DCT LOGDA
